,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score3,M+CR2,M+CR+W3
317, City Of Medicine Academy ,23,54.8,436,427,441,863,1304
322, Durham's Performance Learning ,6,22.2,410,422,407,832,1239
323, Durham School Of Arts ,124,78.5,542,540,520,1082,1602
353, Middle College High @dtcc ,26,41.9,523,499,486,1022,1508
356, Northern High ,215,70.7,461,444,424,905,1329
365, Riverside High ,238,65.4,514,495,480,1009,1489
368, Southern High ,114,48.7,420,403,394,823,1217
701, Hillside High ,   ,   ,   ,   ,   ,   ,   
701, Hillside New Tech High School ,   ,   ,   ,   ,   ,   ,   
32D , Kestrel Heights School,14,73.7,391,399,369,790,1159
330, Edgecombe County Schools,162,37.1,455,434,424,889,1313
326, Edgecombe Early College High ,13,92.9,476,463,472,939,1411
328, North Edgecombe High ,29,34.1,442,432,397,874,1271
350, Southwest Edgecombe ,54,28.7,466,437,431,903,1334
358, Tarboro High ,66,44,447,427,419,874,1293
340, Forsyth County Schools ,1883,57.9,505,497,482,1002,1484
330, Carver High ,102,48.1,391,398,379,789,1168
332, Career Center ,8,NA,513,546,489,1059,1548
362, Early College At Forsyth ,   ,   ,   ,   ,   ,   ,   
364, East Forsyth High ,203,56.7,517,499,482,1016,1498
382, R B Glenn High ,147,49.5,488,472,459,960,1419
446, Middle College Forsyth ,11,31.4,525,527,504,1052,1556
454, Mount Tabor High ,297,74.8,537,531,515,1068,1583
460, North Forsyth High ,123,50.4,442,444,423,886,1309
486, Parkland High ,159,52.6,453,454,436,907,1343
495, Reagan High ,237,65.7,536,528,516,1064,1580
496, Reynolds High ,177,55,552,546,535,1098,1633
556, West Forsyth High ,304,72.7,548,528,513,1076,1589
568, Winston-Salem Prep Academy ,30,68.2,389,399,400,788,1188
700, Sch Of Comp Tech At Atkins Hig ,25,41,415,411,394,826,1220
701, Sch Of Biot At Atkins High ,33,48.5,428,438,410,866,1276
702, Sch Of Pre-Engin At Atkins Hig ,27,50,441,417,397,858,1255
703, Jacket Academy At Carver ,   ,   ,   ,   ,   ,   ,   
34D , Carter G Woodson Sch ,6,60,373,420,387,793,1180
350, Franklin County Schools ,205,42.4,481,460,443,941,1384
308, Bunn High ,81,45.8,480,448,433,928,1361
321, Franklinton High ,67,42.9,471,457,441,928,1369
336, Louisburg High ,57,38,494,480,458,974,1432
360, Gaston County Schools ,1001,49.6,491,476,456,967,1423
310, Ashbrook High ,195,61.3,471,460,434,931,1365
336, Bessemer City High ,38,27.7,472,462,446,934,1380
360, Cherryville Sr High ,64,39.5,482,454,425,936,1361
390, East Gaston High ,105,36.7,504,481,464,985,1449
396, Forestview High ,181,57.1,516,498,478,1014,1492
418, Highland School Of Technology ,98,75.4,513,490,471,1003,1474
428, Hunter Huss High ,82,35.7,448,452,438,900,1338
470, North Gaston High ,81,46,473,469,443,942,1385
494, South Point High ,157,63.8,501,488,475,989,1464
36B , Piedmont Community C ,10,55.6,440,468,424,908,1332
370, Gates County Schools ,54,44.6,473,466,446,939,1385
312, Gates County Sr High ,54,44.6,473,466,446,939,1385
380, Graham County Schools ,28,49.1,514,452,465,966,1431
