,,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score,M+CR2,M+CR+W3,,,, 
,330,First Flight High,127,78.9,533,501,484,1034,1518,,,,
290,290,Davidson County,609,51.9,510,496,483,1006,1489,,,,
,308,Central Davidson High,80,43.5,502,488,475,990,1465,,,,
,314,Davidson Co Ext Day,,,,,,,,,,,
,315,Davidson Early College,,,,,,,,,,,
,324,East Davidson High,103,52.3,516,490,480,1006,1486,,,,
,336,Ledford Senior High,115,62.2,508,516,500,1024,1524,,,,
,348,North Davidson Sr High,203,63.8,518,499,486,1017,1503,,,,
,365,South Davidson High,38,40,494,486,461,980,1441,,,,
,388,West Davidson High,67,41.9,494,475,466,969,1435,,,,
291,291,Lexington City,52,44.4,443,441,430,884,1314,,,,
,336,Lexington Sr High,52,47.3,443,441,430,884,1314,,,,
292,292,Thomasville City,56,49.1,452,438,422,890,1312,,,,
,324,Thomasville High,56,49.1,452,438,422,890,1312,,,,
300,300,Davie County,173,48.3,536,505,504,1041,1545,,,,
,312,Davie High,173,48.3,536,505,504,1041,1545,,,,
310,310,Duplin County ,209,43.7,465,449,441,914,1355,,,,
,344,East Duplin High,70,43.8,497,478,468,975,1443,,,,
,352,James Kenan High,60,48.8,426,422,418,848,1266,,,,
,364,North Duplin Jr Sr High,28,43.8,476,465,459,941,1400,,,,
,392,Wallace-Rose Hill High,51,38.9,460,433,419,893,1312,,,,
320,320,Durham County,1243,70.5,500,487,475,987,1462,,,,
,309,JD Clement Early Col ,,,,,,,,,,,
,312,C E Jordan High,320,85.3,548,536,526,1084,1610,,,,
,322,Durham's Perform Lrng,,,,,,,,,,,
,323,Durham Sch of Arts,134,77.5,528,545,515,1073,1588,,,,
,325,Hillside High,144,52.4,418,410,398,828,1226,,,,
,341,Lakeview School,,,,,,,,,,,
,353,Middel College High,,,,,,,,,,,
,356,Northern High,220,64,502,481,469,983,1452,,,,
,365,Riverside High,279,83,508,488,480,996,1476,,,,
,368,Southern High,142,57.5,435,415,402,850,1252,,,,
,700,Southern Sch of Engineering,,,,,,,,,,,
32D,32D,Kestrel Heights,,,,,,,,,,,
330,330,Edgecombe County ,142,35.5,469,455,441,924,1365,,,,
,326,Edgecombe Early Coll ,6,50,390,420,402,810,1212,,,,
,328,North Edgecombe High,5,9.6,448,416,410,864,1274,,,,
,350,Southwest Edgecombe,72,38.9,471,459,441,930,1371,,,,
