,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score,M+CR2,M+CR+W3,,,,,,,,,,, 
292,Thomasville City,65,52,449,433,422,882,1304,,,,,,,,,,,
324,Thomasville High,65,52,449,433,422,882,1304,,,,,,,,,,,
300,Davie County,163,48.7,529,501,493,1030,1523,,,,,,,,,,,
312,Davie High,163,48.8,529,501,493,1030,1523,,,,,,,,,,,
310,Duplin County ,204,44,456,454,437,910,1347,,,,,,,,,,,
344,East Duplin High,54,35.3,491,496,478,987,1465,,,,,,,,,,,
352,James Kenan High,53,46.1,409,400,381,809,1190,,,,,,,,,,,
364,North Duplin Jr Sr High,40,51.9,496,499,458,995,1453,,,,,,,,,,,
392,Wallace-Rose Hill High,57,47.9,438,434,435,872,1307,,,,,,,,,,,
320,Durham County,1373,72.8,493,490,473,983,1456,,,,,,,,,,,
309,JD Clement Early Col ,,,,,,,,,,,,,,,,,,
312,C E Jordan High,363,91.2,529,531,514,1060,1574,,,,,,,,,,,
322,Durham's Perform Lrng,,,,,,,,,,,,,,,,,,
323,Durham Sch of Arts,131,88.5,527,547,525,1074,1599,,,,,,,,,,,
325,Hillside High,180,58.3,427,422,407,849,1256,,,,,,,,,,,
341,Lakeview School,2,18.2,0,0,0,0,0,,,,,,,,,,,
353,Middel College High,24,64.9,506,517,493,1023,1516,,,,,,,,,,,
356,Northern High,242,72.9,483,469,451,952,1403,,,,,,,,,,,
365,Riverside High,280,74.1,520,507,491,1027,1518,,,,,,,,,,,
368,Southern High,151,56.1,422,425,408,847,1255,,,,,,,,,,,
700,Southern Sch of Engineering,,,,,,,,,,,,,,,,,,
32D,Kestrel Heights,,,,,,,,,,,,,,,,,,
330,Edgecombe County ,192,45.7,459,441,421,900,1321,,,,,,,,,,,
326,Edgecombe Early Coll ,6,50,448,463,430,911,1341,,,,,,,,,,,
328,North Edgecombe High,19,31.7,462,433,430,895,1325,,,,,,,,,,,
350,Southwest Edgecombe,98,47.8,471,443,419,914,1333,,,,,,,,,,,
358,Tarboro High,69,48.6,442,438,421,880,1301,,,,,,,,,,,
340,Winston-Salem/ Forsyth County ,2013,66.4,511,502,489,1013,1501,,,,,,,,,,,
330,Carver High,143,57.7,403,403,390,806,1196,,,,,,,,,,,
364,East Forsyth High,284,69.8,519,512,499,1031,1530,,,,,,,,,,,
382,R B Glenn High,204,55.3,487,475,466,962,1428,,,,,,,,,,,
446,Forsyth Middle College,9,,510,532,476,1042,1518,,,,,,,,,,,
454,Mount Tabor High,328,87,553,537,525,1090,1615,,,,,,,,,,,
460,North Forsyth High,145,53.3,479,473,460,952,1412,,,,,,,,,,,
486,Parkland High,155,57.2,439,432,423,871,1294,,,,,,,,,,,
495,Reagan High,125,74.9,508,502,482,1010,1492,,,,,,,,,,,
496,Reynolds High,232,66.7,531,533,526,1064,1590,,,,,,,,,,,
556,West Forsyth High,388,82,550,534,520,1084,1604,,,,,,,,,,,
568,Winston-Salem Prep ,,,,,,,,,,,,,,,,,,
700,Sch Computer Tech At ,,,,,,,,,,,,,,,,,,
701,Sch Of Biotech Atkin ,,,,,,,,,,,,,,,,,,
702,Sch Pre-Engin Atkins ,,,,,,,,,,,,,,,,,,
34D,Woodson School of Challenge,12,80,333,338,373,671,1044,,,,,,,,,,,
350,Franklin County ,203,48.2,472,471,458,943,1401,,,,,,,,,,,
308,Bunn High,81,49.7,484,477,457,961,1418,,,,,,,,,,,
321,Franklinton High,72,54.1,445,453,445,898,1343,,,,,,,,,,,
336,Louisburg High,50,40,489,485,478,974,1452,,,,,,,,,,,
360,Gaston County ,1053,55.2,492,478,463,970,1433,,,,,,,,,,,
310,Ashbrook High,169,59.3,483,470,455,953,1408,,,,,,,,,,,
336,Bessemer City High,53,37.3,465,454,435,919,1354,,,,,,,,,,,
360,Cherryville Sr High,51,42.1,506,488,462,994,1456,,,,,,,,,,,
390,East Gaston High,156,52.3,487,468,459,955,1414,,,,,,,,,,,
396,Forestview High,199,70.8,501,490,479,991,1470,,,,,,,,,,,
418,Highlands School,101,82.1,531,511,494,1042,1536,,,,,,,,,,,
428,Hunter Huss High,88,45.1,440,439,415,879,1294,,,,,,,,,,,
470,North Gaston High,94,42.5,490,461,449,951,1400,,,,,,,,,,,
494,South Point High,142,63.4,511,501,484,1012,1496,,,,,,,,,,,
36B,Piedmont Comm Charter,,,,,,,,,,,,,,,,,,
370,Gates County ,83,53.2,479,460,452,939,1391,,,,,,,,,,,
312,Gates County Sr High,83,53.2,479,460,452,939,1391,,,,,,,,,,,
380,Graham County ,38,43.2,490,480,478,970,1448,,,,,,,,,,,
308,Robbinsville High,38,43.2,490,480,478,970,1448,,,,,,,,,,,
390,Granville County ,258,56.1,490,479,469,969,1438,,,,,,,,,,,
324,J F Webb High,82,55,499,484,468,983,1451,,,,,,,,,,,
352,South Granville High,100,52.6,491,478,471,969,1440,,,,,,,,,,,
700,Jf Webb High,46,59.7,482,469,465,951,1416,,,,,,,,,,,
704,S Granville H,30,68.2,475,484,476,959,1435,,,,,,,,,,,
705,S Granville Bus & Gl ,,,,,,,,,,,,,,,,,,
706,S Granville Eng & Ap ,,,,,,,,,,,,,,,,,,
400,Greene County ,78,43.1,474,441,441,915,1356,,,,,,,,,,,
308,Greene Central High,78,43.1,474,441,441,915,1356,,,,,,,,,,,
410,Guilford County ,3089,70.7,498,487,479,985,1464,,,,,,,,,,,
319,T Wingate Andrews High,131,57.7,420,422,411,842,1253,,,,,,,,,,,
326,Middle Col Hs Bennett ,10,37,366,405,408,771,1179,,,,,,,,,,,
355,Dudley High,205,85.1,437,424,420,861,1281,,,,,,,,,,,
358,Eastern Guilford High,97,57.7,462,439,429,901,1330,,,,,,,,,,,
390,GC Middle College High,54,90,506,509,489,1015,1504,,,,,,,,,,,
394,Grimsley High,326,86.9,547,548,535,1095,1630,,,,,,,,,,,
395,Guilford Early College,44,97.8,629,656,642,1285,1927,,,,,,,,,,,
399,GTCC Mid Col Greensboro,6,19.4,413,433,415,846,1261,,,,,,,,,,,
401,GTCC Mid Col Jamestown,11,35.5,476,465,457,941,1398,,,,,,,,,,,
406,High Pt Central High,205,84,477,457,454,934,1388,,,,,,,,,,,
407,Academy at High Point,1,5.3,480,440,420,920,1340,,,,,,,,,,,
408,High Pt GTCC MCH,8,16.7,465,446,446,911,1357,,,,,,,,,,,
483,Mid Col High NC A & T,12,32.4,381,375,336,756,1092,,,,,,,,,,,
484,Northeast High,119,53.1,450,441,434,891,1325,,,,,,,,,,,
490,Northwest High,424,79.3,558,543,535,1101,1636,,,,,,,,,,,
508,Page High,274,80.1,491,483,477,974,1451,,,,,,,,,,,
529,Lucy Ragsdale High,207,68.3,513,489,484,1002,1486,,,,,,,,,,,
544,Ben L Smith High,150,61.2,412,392,390,804,1194,,,,,,,,,,,
545,Smith Academy,7,22.6,411,427,419,838,1257,,,,,,,,,,,
547,Southeast High,168,73.7,499,483,469,982,1451,,,,,,,,,,,
556,Southern High,107,60.1,468,456,444,924,1368,,,,,,,,,,,
562,Southwest High,214,76.4,494,483,476,977,1453,,,,,,,,,,,
589,P J Weaver Ed Center ,62,88.6,535,582,543,1117,1660,,,,,,,,,,,
595,Western High,247,76.2,520,499,497,1019,1516,,,,,,,,,,,
420,Halifax County ,110,34.7,412,394,387,806,1193,,,,,,,,,,,
346,Northwest High,65,33.7,422,393,395,815,1210,,,,,,,,,,,
358,Southeast Halifax High,45,36.3,396,395,375,791,1166,,,,,,,,,,,
421,Roanoke Rapids City ,111,62.4,484,467,453,951,1404,,,,,,,,,,,
316,Roanake Rapids High,111,62.4,484,467,453,951,1404,,,,,,,,,,,
422,Weldon City ,30,54.5,386,350,366,736,1102,,,,,,,,,,,
324,Weldon High,30,54.5,386,350,366,736,1102,,,,,,,,,,,
430,Harnett County ,440,49.3,484,475,451,959,1410,,,,,,,,,,,
346,Harnett Central High,138,55.6,520,502,478,1022,1500,,,,,,,,,,,
371,Overhills High,81,44.8,451,442,427,893,1320,,,,,,,,,,,
378,Triton High,114,46.7,473,457,435,930,1365,,,,,,,,,,,
384,Western Harnett High,107,50.2,473,483,449,956,1405,,,,,,,,,,,
440,Haywood County ,267,56.9,528,504,487,1032,1519,,,,,,,,,,,
326,Central Haywood High ,,,,,,,,,,,,,,,,,,
378,Pisgah High,106,53.3,515,491,481,1006,1487,,,,,,,,,,,
390,Tuscola High,161,63.1,536,512,491,1048,1539,,,,,,,,,,,
450,Henderson County ,445,56.8,536,517,503,1053,1556,,,,,,,,,,,
316,East Henderson High,98,49,534,514,486,1048,1534,,,,,,,,,,,
334,Hendersonville High,112,66.7,550,543,537,1093,1630,,,,,,,,,,,
341,North Henderson High,90,52.9,521,501,496,1022,1518,,,,,,,,,,,
352,West Henderson High,145,62.8,537,510,491,1047,1538,,,,,,,,,,,
460,Hertford County ,107,48.2,415,407,401,822,1223,,,,,,,,,,,
320,Hertford County High,107,48.2,415,407,401,822,1223,,,,,,,,,,,
470,Hoke County ,165,51.7,434,436,414,870,1284,,,,,,,,,,,
312,Hoke County High,165,52.4,434,436,414,870,1284,,,,,,,,,,,
480,Hyde County ,27,60,497,445,449,942,1391,,,,,,,,,,,
307,Mattamu-  stkeet High,20,52.6,528,453,452,981,1433,,,,,,,,,,,
316,Ocracoke,7,100,411,424,439,835,1274,,,,,,,,,,,
490,Iredell-Statesville ,652,55.9,538,507,492,1045,1537,,,,,,,,,,,
335,Lake Norman High,302,89.1,549,520,505,1069,1574,,,,,,,,,,,
346,North Iredell High,85,44,527,505,487,1032,1519,,,,,,,,,,,
354,Statesville High,108,43.7,533,489,480,1022,1502,,,,,,,,,,,
362,South Iredell High,74,45.1,527,492,482,1019,1501,,,,,,,,,,,
380,West Iredell High,83,38.2,520,497,474,1017,1491,,,,,,,,,,,
491,Mooresville City ,172,56.8,517,497,488,1014,1502,,,,,,,,,,,
312,Mooresville Sr High,172,56.8,517,497,488,1014,1502,,,,,,,,,,,
500,Jackson County ,114,53,502,487,474,989,1463,,,,,,,,,,,
316,Blue Ridge School,13,65,442,431,406,873,1279,,,,,,,,,,,
340,Smoky Mountain High,101,55.2,509,494,483,1003,1486,,,,,,,,,,,
510,Johnston County ,687,50,517,495,482,1012,1494,,,,,,,,,,,
324,Clayton High,205,65.9,515,493,483,1008,1491,,,,,,,,,,,
357,Johnston Middle Coll ,13,31.7,492,485,463,977,1440,,,,,,,,,,,
368,North Johnston High,50,39.7,540,500,482,1040,1522,,,,,,,,,,,
376,Princeton High,33,47.8,512,465,478,977,1455,,,,,,,,,,,
399,Smithfield-Selma High,144,59.3,501,486,463,987,1450,,,,,,,,,,,
402,South Johnston High,75,35,521,505,497,1026,1523,,,,,,,,,,,
406,West Johnston High,167,45.5,529,506,492,1035,1527,,,,,,,,,,,
520,Jones County ,32,42.1,457,448,426,905,1331,,,,,,,,,,,
320,Jones Senior High,32,42.1,457,448,426,905,1331,,,,,,,,,,,
530,Lee County ,244,52.5,509,494,468,1003,1471,,,,,,,,,,,
336,Lee County Sr High,172,62.8,509,501,475,1010,1485,,,,,,,,,,,
343,Southern Lee High ,72,39.1,507,477,451,984,1435,,,,,,,,,,,
53A,Provisions Acad Charter,,,,,,,,,,,,,,,,,,
540,Lenoir County ,254,46.4,487,456,443,943,1386,,,,,,,,,,,
315,Kinston High,99,52.1,493,457,450,950,1400,,,,,,,,,,,
324,North Lenoir High,91,46,464,448,428,912,1340,,,,,,,,,,,
336,South Lenoir High,64,46.4,512,466,452,978,1430,,,,,,,,,,,
550,Lincoln County ,407,52,508,476,467,984,1451,,,,,,,,,,,
320,East Lincoln High,127,63.8,505,472,464,977,1441,,,,,,,,,,,
332,Lincolnton High,64,39.8,496,483,484,979,1463,,,,,,,,,,,
