,,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score,M+CR2,M+CR+W3,,,, 
,420,Purnell Swett High,135,44.6,465,414,411,879,1290,,,,
790,790,Rockingham County ,429,56.2,492,480,461,972,1433,,,,
,314,Dalton McMichael High,94,51.6,500,500,471,1000,1471,,,,
,354,John M Morehead High,123,55.2,505,478,462,983,1445,,,,
,366,Reidsville High,90,58.8,440,452,437,892,1329,,,,
,378,Rockingham Co High,122,60.1,513,487,470,1000,1470,,,,
800,800,Rowan-Salisbury ,625,50.6,501,476,457,977,1434,,,,
,308,Henderson Indep High ,3,27.3,,,,,,,,,
,340,East Rowan High,144,52.7,507,483,464,990,1454,,,,
,361,Jesse C. Carson,66,37.5,521,501,479,1022,1501,,,,
,376,North Rowan High,71,60.7,481,459,439,940,1379,,,,
,396,Salisbury High,128,73.6,482,463,444,945,1389,,,,
,400,South Rowan High,96,41.7,521,487,464,1008,1472,,,,
,408,West Rowan High,117,46.1,500,474,453,974,1427,,,,
810,810,Rutherford County ,282,44.3,483,463,452,946,1398,,,,
,324,Chase High,73,34.8,470,445,428,915,1343,,,,
,340,East Rutherford High,108,59.3,468,449,447,917,1364,,,,
,384,R S Central,95,41.7,508,487,474,995,1469,,,,
81A,81A,Thomas Jefferson Classical,30,115.4,552,603,553,1155,1708,,,,
820,820,Sampson County ,197,46.9,466,438,426,904,1330,,,,
,348,Hobbton High,53,48.2,472,429,420,901,1321,,,,
,349,Lakewood High,48,44.9,439,431,408,870,1278,,,,
,352,Midway High,59,50.9,495,456,453,951,1404,,,,
,388,Union High,37,42.5,446,430,412,876,1288,,,,
821,821,Clinton City ,86,54.4,484,458,454,942,1396,,,,
,308,Clinton High,86,54.4,484,458,454,942,1396,,,,
830,830,Scotland County ,214,57.7,481,451,441,932,1373,,,,
,346,Scotland High,214,57.7,481,451,441,932,1373,,,,
840,840,Stanly County ,307,47.5,497,470,463,967,1430,,,,
,302,Albemarle High,76,52.8,466,456,448,922,1370,,,,
,332,North Stanly High,71,43.8,477,457,453,934,1387,,,,
,356,South Stanly High,53,50.5,513,471,467,984,1451,,,,
,368,West Stanly High,107,45.9,524,488,480,1012,1492,,,,
84B,84B,Gray Stone Day,41,97.6,548,554,541,1102,1643,,,,
850,850,Stokes County ,215,44.1,510,487,477,997,1474,,,,
,332,North Stokes High,37,37.8,503,484,465,987,1452,,,,
,352,South Stokes High,63,41.7,515,488,472,1003,1475,,,,
,358,West Stokes High,115,48.5,509,487,484,996,1480,,,,
860,860,Surry County ,202,38.6,532,491,477,1023,1500,,,,
,316,East Surry High,71,47.7,525,499,481,1024,1505,,,,
,336,North Surry High,68,31.3,535,485,475,1020,1495,,,,
,352,Surry Central High,63,40.1,536,489,474,1025,1499,,,,
861,861,Elkin City ,53,58.2,532,514,487,1046,1533,,,,
,308,Elkin High,53,58.2,532,514,487,1046,1533,,,,
862,862,Mount Airy City ,68,54.4,510,505,478,1015,1493,,,,
,312,Mount Airy High,68,54.4,510,505,478,1015,1493,,,,
870,870,Swain County ,49,45.8,504,496,482,1000,1482,,,,
,314,Swain County High,49,46.7,504,496,482,1000,1482,,,,
880,880,Transylvania County ,114,51.8,529,515,495,1044,1539,,,,
,308,Brevard High,84,60.4,541,526,502,1067,1569,,,,
,328,Rosman Middle/High,30,48.4,496,483,477,979,1456,,,,
890,890,Tyrrell County ,14,42.4,494,466,422,960,1382,,,,
,304,Columbia High,14,42.4,494,466,422,960,1382,,,,
900,900,Union County ,1292,67.8,524,499,489,1023,1512,,,,
,316,Forest Hills High,102,46.6,496,463,453,959,1412,,,,
,336,Monroe High,87,56.9,465,433,412,898,1310,,,,
,342,Porter Ridge High,181,65.8,519,499,492,1018,1510,,,,
,344,Parkwood High,172,64.4,528,502,487,1030,1517,,,,
,348,Piedmont High,126,67.4,516,492,482,1008,1490,,,,
,360,Sun Valley High,182,62.5,512,502,493,1014,1507,,,,
,365,South Providence,1,14.3,0,0,0, ,0,,,,
,377,Weddington High,439,91.3,549,522,514,1071,1585,,,,
,393,Marvin Ridge High School,2,0.2,,,,,,,,,
910,910,Vance County ,208,49.4,423,407,407,830,1237,,,,
,364,Southern Vance High,101,54.9,418,391,393,809,1202,,,,
,370,Northern Vance High,107,53.5,428,422,420,850,1270,,,,
920,920,Wake County ,5611,73.6,541,518,506,1059,1565,,,,
,316,Apex High,474,84.5,573,543,531,1116,1647,,,,
,318,Athens Drive High,295,76.8,553,518,505,1071,1576,,,,
,324,Longview,2,100,,,,,,,,,
,348,Needham Broughton High,373,85,548,530,524,1078,1602,,,,
,368,Cary High,384,74.7,558,529,511,1087,1598,,,,
,411,East Wake High,,,,,,,,,,,
,412,William G Enloe High,445,78.2,594,580,574,1174,1748,,,,
,428,Fuquay-Varina High,228,58.3,524,503,481,1027,1508,,,,
,436,Garner High,217,50.9,471,461,440,932,1372,,,,
,441,Green Hope High,488,91,588,546,543,1134,1677,,,,
,466,Knightdale High,206,60.8,463,455,436,918,1354,,,,
,473,Leesville Road High,405,85.3,555,525,517,1080,1597,,,,
,495,Middle Creek High,327,69,529,520,497,1049,1546,,,,
,500,Millbrook High,337,78.6,512,490,480,1002,1482,,,,
,528,Phillips High,5,9.6,372,360,362,732,1094,,,,
,552,Sanderson High,259,72.3,535,513,496,1048,1544,,,,
,562,Southeast Raleigh High,339,73.2,504,492,479,996,1475,,,,
,588,Wake F-Rolesville High,289,68.8,524,509,489,1033,1522,,,,
,595,Wakefield High,405,79.6,537,513,500,1050,1550,,,,
,700,East Wake Health Sci,41,46.6,472,460,440,932,1372,,,,
,701,East Wake Integ Tech ,4,9.5,0,0,0, ,0,,,,
,702,East Wake Arts Ed & ,10,12,457,425,428,882,1310,,,,
,703,East Wake Engineerin ,9,12.9,421,417,396,838,1234,,,,
92F,92F,Franklin Academy ,33,78.6,527,531,517,1058,1575,,,,
92G,92G,East Wake Academy,20,66.7,472,467,458,939,1397,,,,
92K,92K,Raleigh Charter High,117,95.9,633,631,617,1264,1881,,,,
92P,92P,Community Partners,8,26.7,474,470,468,944,1412,,,,
930,930,Warren County ,100,54.3,423,413,406,836,1242,,,,
,352,Warren County High,100,54.3,423,413,406,836,1242,,,,
,93A,Haliwa-Saponi Tribal Sch,6,120,382,438,443,820,1263,,,,
940,940,Washington County ,61,43.9,428,391,384,819,1203,,,,
,308,Creswell High,5,25,448,376,410,824,1234,,,,
,316,Plymouth High,56,47.1,426,393,382,819,1201,,,,
950,950,Watauga County ,215,71.7,555,547,527,1102,1629,,,,
,336,Watauga High,215,71.7,555,547,527,1102,1629,,,,
960,960,Wayne County ,562,49.3,495,484,459,979,1438,,,,
,324,Charles B Aycock High,124,54.6,512,505,481,1017,1498,,,,
,330,Eastern Wayne High,162,60.4,521,497,476,1018,1494,,,,
,335,Goldsboro High,75,54.7,417,418,392,835,1227,,,,
,372,Rosewood High,55,38.2,502,495,462,997,1459,,,,
,380,Southern Wayne High,93,43.5,478,470,440,948,1388,,,,
,386,Spring Creek High,44,41.9,506,492,468,998,1466,,,,
,490,Wayne Early/Middle College,9,29,551,581,557,1132,1689,,,,
970,970,Wilkes County ,265,47.2,527,510,482,1037,1519,,,,
,320,East Wilkes High,41,41.8,529,519,507,1048,1555,,,,
,356,North Wilkes High,63,47.4,508,499,473,1007,1480,,,,
,388,West Wilkes High,55,47.4,548,526,490,1074,1564,,,,
,390,Wilkes Central High,106,62,527,506,474,1033,1507,,,,
980,980,Wilson County ,311,46.6,494,470,459,964,1423,,,,
,318,Beddingfield High,66,36.9,451,420,410,871,1281,,,,
,336,Fike High,127,50.6,501,481,462,982,1444,,,,
,342,James Hunt High,118,50.2,511,486,482,997,1479,,,,
990,990,Yadkin County ,169,44.6,501,483,470,984,1454,,,,
,322,Forbush High,96,44.9,507,489,468,996,1464,,,,
,326,Starmount High,73,45.1,494,476,472,970,1442,,,,
995,995,Yancey County ,63,43.2,523,512,482,1035,1517,,,,
,330,Mountain Heritage High,63,43.2,523,512,482,1035,1517,,,,
